# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 14.8025 h/Mpc,
# number of wavenumbers equal to 618
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.755405729424e-01       2.531716381767e+02 
       5.787544438639e-01       2.501577603078e+02 
       5.819683148929e-01       2.471908506068e+02 
       5.851821860278e-01       2.442703855461e+02 
       5.883960572668e-01       2.413918891089e+02 
       5.916099286082e-01       2.385583081091e+02 
       5.948238000503e-01       2.357692952941e+02 
       5.980376715915e-01       2.330238716447e+02 
       6.012515432302e-01       2.303199016686e+02 
       6.044654149648e-01       2.276552018311e+02 
       6.076792867938e-01       2.250288537628e+02 
       6.108931587158e-01       2.224410002836e+02 
       6.141070307292e-01       2.198917456774e+02 
       6.173209028327e-01       2.173870786344e+02 
       6.205347750248e-01       2.149253668709e+02 
       6.237486473041e-01       2.125067335146e+02 
       6.269625196694e-01       2.101294997999e+02 
       6.301763921192e-01       2.077905951450e+02 
       6.333902646523e-01       2.054883383375e+02 
       6.366041372675e-01       2.032218886672e+02 
       6.398180099634e-01       2.009908389790e+02 
       6.430318827390e-01       1.987958754538e+02 
       6.462457555929e-01       1.966362250118e+02 
       6.494596285240e-01       1.945108484949e+02 
       6.526735015313e-01       1.924171856154e+02 
       6.558873746135e-01       1.903532662961e+02 
       6.591012477695e-01       1.883169181191e+02 
       6.623151209983e-01       1.863080750955e+02 
       6.655289942989e-01       1.843277707919e+02 
       6.687428676701e-01       1.823764601618e+02 
       6.719567411110e-01       1.804548492255e+02 
       6.751706146206e-01       1.785622379464e+02 
       6.783844881978e-01       1.766976366311e+02 
       6.815983618418e-01       1.748591326664e+02 
       6.848122355516e-01       1.730457927268e+02 
       6.880261093263e-01       1.712579725176e+02 
       6.912399831649e-01       1.694959128846e+02 
       6.944538570667e-01       1.677605277908e+02 
       6.976677310306e-01       1.660521970440e+02 
       7.008816050558e-01       1.643698839079e+02 
       7.040954791415e-01       1.627120751531e+02 
       7.073093532870e-01       1.610770049519e+02 
